AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
Charles Mount,198161015548,prod-finance,us-east-1,vol-59afc1b9,gp3,1000,False,3000,250,in-use,False,i-88be045c,c4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-88be045c,2023-12-21T23:07:18+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-8ee1335e,gp3,100,False,3000,125,in-use,False,i-4c667ad1,c3.large,arn:aws:ec2:us-east-1:198161015548:instance/i-4c667ad1,2024-03-04T18:35:29+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-022e55231d428c4cf,sc1,4096,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c1863a74f22edc7d,gp3,50,True,3000,125,in-use,False,i-07cbd6be0a1c90f79,c4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-07cbd6be0a1c90f79,2020-07-29T21:00:42+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-00aedad067ea42874,gp3,2048,False,3000,125,in-use,False,i-03969fef458cd4167,c4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-03969fef458cd4167,2023-06-16T22:28:37+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-09f64da8e3bf1ce9f,gp3,100,True,3000,125,in-use,False,i-0dbb4653a8cfca4ae,c4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-0dbb4653a8cfca4ae,2021-06-11T20:16:23+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-08aa3182591b65a18,gp3,200,False,3000,150,in-use,False,i-0f33f800c022e418a,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-0f33f800c022e418a,2025-05-28T20:48:12+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-918ef94d,gp3,1000,False,3000,250,in-use,False,i-0f755cb1,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-0f755cb1,2015-12-01T20:27:30+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-5652fdb6,gp3,100,False,3000,125,in-use,False,i-2c7f76f9,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-2c7f76f9,2022-09-29T18:57:04+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0c70448b73f2d8dca,sc1,3072,False,,,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-72e4d2bb,gp3,20,False,3000,125,in-use,False,i-d75fe03e,m4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-d75fe03e,2017-08-10T04:05:04+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-068df5c437cdf9c7b,gp3,100,False,3000,125,in-use,False,i-03969fef458cd4167,c4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-03969fef458cd4167,2023-06-16T22:28:37+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0680d6a6b76debdde,gp3,100,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-440f9901,gp3,300,False,3000,125,in-use,False,i-a409368e,c3.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-a409368e,2021-06-04T23:51:24+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-3fc694a3,gp3,2048,False,6144,250,in-use,False,i-88be045c,c4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-88be045c,2023-12-21T23:07:18+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-06a7d20eed2f06c38,gp3,8,False,3000,125,in-use,False,i-0a086d7d2a4ba25a9,t3.small,arn:aws:ec2:us-east-1:198161015548:instance/i-0a086d7d2a4ba25a9,2021-03-03T18:55:43+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-09f5796cb7377c942,gp3,6144,False,9216,250,in-use,False,i-0d6e0ade,m4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-0d6e0ade,2022-03-11T22:36:35+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-059b6d9e0dbc3b20e,gp3,6144,False,12288,250,in-use,False,i-d07743c7,m3.medium,arn:aws:ec2:us-east-1:198161015548:instance/i-d07743c7,2021-04-04T21:31:40+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-048499970c2a1c346,gp3,2048,False,6144,250,in-use,False,i-01400e7184ad7c200,c4.4xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-01400e7184ad7c200,2022-09-29T18:29:09+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0dd862bcbf4ec2549,gp3,25,False,3000,125,in-use,False,i-0003603fb4581513a,t4g.large,arn:aws:ec2:us-east-1:198161015548:instance/i-0003603fb4581513a,2021-08-02T23:22:11+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-7eb4b9f0,gp3,6144,False,9216,250,in-use,False,i-d75fe03e,m4.2xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-d75fe03e,2017-08-10T04:05:04+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0e3108f54675e2b82,gp3,100,True,3000,125,in-use,False,i-0b8a939d50617cfec,c4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-0b8a939d50617cfec,2020-12-16T08:37:48+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-023fb44586cb1f20f,gp3,50,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-3b1aeef3,gp3,3000,False,9000,250,in-use,False,i-9da1e574,m4.xlarge,arn:aws:ec2:us-east-1:198161015548:instance/i-9da1e574,2018-04-11T02:30:49+00:00,True
Charles Mount,198161015548,prod-finance,us-east-1,vol-0baf647b19bccf1af,gp3,6144,False,3000,125,in-use,False,i-5141feb8,m4.large,arn:aws:ec2:us-east-1:198161015548:instance/i-5141feb8,2023-09-13T22:03:57+00:00,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-049359d24a8f2ed9e,gp3,30,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0bc9844e7c34bb5f0,gp3,100,False,3000,125,available,True,,,,,False
Charles Mount,198161015548,prod-finance,us-east-1,vol-0554febacc86f807a,gp2,30,False,100,,available,True,,,,,False
