AccountName,AccountId,Environment,Region,VolumeId,VolumeType,SizeGiB,Encrypted,Iops,Throughput,State,IsUnattached,AttachedInstanceId,AttachedInstanceType,AttachedInstanceArn,AttachedInstanceLaunchTime,IsRootVolume
AWS Development,013612877090,dev,us-west-2,vol-0ac1e7294df8c232e,gp2,20,True,100,,in-use,False,i-0cf44d614d3181f57,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0cf44d614d3181f57,2025-12-02T04:25:23+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-07920d608ce09fa07,gp2,8,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-098e1fc016970c3b2,gp2,50,True,150,,in-use,False,i-05a9a95e82aedb154,t3.medium,arn:aws:ec2:us-west-2:013612877090:instance/i-05a9a95e82aedb154,2025-09-03T18:42:19+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-06969e508837a20b6,gp2,50,True,150,,in-use,False,i-0db3fcf4ec9d01faa,t3.medium,arn:aws:ec2:us-west-2:013612877090:instance/i-0db3fcf4ec9d01faa,2024-11-13T23:12:37+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0273c1edbbf35c421,gp2,2,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0936f8ae22818b30a,gp2,8,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0667d2afe072f9845,gp2,50,True,150,,in-use,False,i-00febee95b0cdfd30,m5.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-00febee95b0cdfd30,2025-09-03T18:42:22+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0a4351c4a66349124,gp2,50,True,150,,in-use,False,i-0f17e81b3f4c36dce,t3.small,arn:aws:ec2:us-west-2:013612877090:instance/i-0f17e81b3f4c36dce,2025-10-03T20:18:23+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0faf6f78b758de095,gp2,8,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-060327cef7dd963a2,gp2,8,True,100,,in-use,False,i-0aa533f081f8168b9,t3.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0aa533f081f8168b9,2025-12-03T18:01:29+00:00,False
AWS Development,013612877090,dev,us-west-2,vol-04ebea07c80d98a46,gp2,8,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-053ffe219d4c473c5,gp3,200,True,3000,125,in-use,False,i-0ef44815c667c08ad,g5.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0ef44815c667c08ad,2025-08-22T01:50:24+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-03280e8faba41f22f,gp3,8,True,3000,125,in-use,False,i-01e05ac27ea534446,m5.4xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-01e05ac27ea534446,2025-11-06T20:49:55+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0fdb7f506a05e97b0,gp3,8,True,3000,125,in-use,False,i-0b6cddb9bc58975ff,t3.micro,arn:aws:ec2:us-west-2:013612877090:instance/i-0b6cddb9bc58975ff,2025-08-05T02:00:34+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-0584378086844351b,gp2,30,True,100,,available,True,,,,,False
AWS Development,013612877090,dev,us-west-2,vol-0a69ac243619dec24,gp3,30,True,3000,125,in-use,False,i-0b0d236eb331a67e3,m5.large,arn:aws:ec2:us-west-2:013612877090:instance/i-0b0d236eb331a67e3,2025-09-23T20:13:01+00:00,True
AWS Development,013612877090,dev,us-west-2,vol-070496c992081d7b9,gp2,50,True,150,,in-use,False,i-0be4f7fa269ba6829,m5.xlarge,arn:aws:ec2:us-west-2:013612877090:instance/i-0be4f7fa269ba6829,2025-12-03T12:21:04+00:00,True
